No.,FECHA NOTICIA,FUENTE,NOMBRE COLUMNISTA/ ESCRITOR,TEMA GENERAL DE NOTICIA,TIPO DE NOTICIA,TITULAR / NOMBRE NOTICIA,SECTOR (BARRIO / LOCALIDAD),DESCRIPCIÓN NOTICIA,OPORTUNIDAD DE INTERVENCIÓN ,LINK DE CONSULTA 
24,"jueves, septiembre 08, 2022",El Cronista.co,El Cronista.co,Economía,Positiva,Feria artesanal ‘Origines de mi Tolima’ estará presente en el Ibagué Festival,Ciudad de Ibagué en general,"El Ibagué Festival es un evento en el que las músicas tradicionales, populares y académicas del país y del mundo se reúnen en un mismo escenario, Ibagué. En esta ocasión al igual que en las dos versiones anteriores, se realizará en el marco del Festival, la Feria artesanal ‘Origines de mi Tolima’.

Esta feria permitirá exaltar la creatividad de los profesionales dedicados a los oficios de cestería, alfarería, ebanistería, entre otros; provenientes de municipios como Ibagué, Armero - Guayabal, Líbano, Ortega y Guamo. ",-,https://elcronista.co/economia/feria-artesanal-origines-de-mi-tolima-estara-presente-en-el-ibague-festival
25,"jueves, septiembre 08, 2022",Caracol Radio,Harold Bonilla,Movilidad,Neutral,Con acción popular buscan mejorar la vía Ibagué-Cajamarca,Via Cajamarca e Ibague,"El Tribunal Administrativo del Tolima admitió una acción popular presentada por la comunidad del municipio de Cajamarca contra el Ministerio del Transporte y la Agencia Nacional de Infraestructura que busca el mejoramiento de la vía que conecta a esa localidad con Ibagué.

La comunidad reclama la atención de cuatro puntos críticos entre ellos el sector de Curalito donde se presenta una falla geológica lo que ha generado cierres en la vía afectando la cotidianidad de la población además de los perjuicios a la economía del país teniendo en cuenta que este tramo hace parte del corredor que une al centro del país con el Pacífico colombiano.",Mantenimiento de vias,https://caracol.com.co/emisora/2022/09/08/ibague/1662644918_561046.html
26,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,Este es el jovencito que murió en brutal choque en Ibagué: se estrelló contra un campero,Chapetón (vía cañon del combeima),"Cristian David Delgado, de 18 años de edad, falleció la pasada noche de miércoles en el sector de Chapetón, vía al Cañón del Combeima, en medio de un violento choque contra un vehículo.

Información preliminar indica que el jovencito se movilizaba a bordo de una motocicleta con Johan Camilo Varón Bedoya como parrillero; de repente, cuando iban entre la zona de Villa María y Tres Esquinas, chocaron de manera violenta contra la parte trasera de un campero de marca Vitara, al tratar de tomar una curva.

De inmediato se le hizo el traslado a la Clínica Tolima, donde al parecer, declararon su muerte cerebral. No obstante, familiares en redes sociales confirmaron su fallecimiento. Su acompañante, también de 18 años de edad, permanece en el mismo centro asistencial por trauma en ojo del lado izquierdo, trauma cervical y tórax múltiples laceraciones, aunque se encuentra estable.",Planes de mejoras en seguridad vial,http://www.elnuevodia.com.co/nuevodia/judicial/494586-este-es-el-jovencito-que-murio-en-brutal-choque-en-ibague-se-estrello-contra-un
27,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,“Ibagué está siendo ‘consumida’ por la delincuencia”,Ciudad de Ibagué en general,"Las diferentes modalidades de hurto pululan en la ciudad según comentarios de la ciudadanía y no ven soluciones que resguarden su integridad y pertenencias. Conforme a los hechos que se registran y lo expresado por algunos ibaguereños, la seguridad en la ciudad va en decadencia y no sienten un respaldo de las autoridades. Tan preocupante se ha hecho la situación que el cabildante César Eugenio Franco, durante las sesiones extraordinarias que se desarrollaron en el Concejo en lo corrido de la semana pidió la palabra para expresar su preocupación.

Es de mencionar que durante estos días se han registrado varios fleteos donde se hurtaron más de $200 millones, sin dejar de lado los robos de otras pertenencias que se volvieron el ‘pan de cada día’ sin importar si la persona va en servicio de transporte público, privado o a pie.",Planes de incremento de seguridad,http://www.elnuevodia.com.co/nuevodia/ibague/494561-ibague-esta-siendo-consumida-por-la-delincuencia
28,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,"Famoso DJ de Ibagué, que casi mata a su ex hace dos años, la sigue acosando: “es maquiavélico”",Altos de Santa Sofia,"Hace dos años, Ibagué conoció la grave denuncia de la joven Sharon Hernández (quien tenía 19 años en ese momento), sobre la grave golpiza e intento de asesinato de su pareja Andrés Felipe Matallana Forero, más conocido en Ibagué como DJ Matallana, reconocido en la ciudad por ser el propietario de la discoteca Envy, y el establecimiento Hookah Lounge Bar.

Por ello, Sharon dejó el país y hoy, a sus 21 años, estaría siendo víctima del acoso del DJ, nuevamente. “Mi hija estuvo mucho tiempo por fuera de las redes sociales, por seguridad emocional, por estar tranquila porque se lo recomendó la terapeuta, ya que esta con ayuda psicológica y medicada, pero hace poco abrió de nuevo sus redes, en ese momento Matallana le escribió desde un perfil falso, pidiéndole que volvieran a entablar una comunicación”, contó la madre de la joven maltratada, Nydia Lucía Zarta.",Planes de incremento de seguridad,http://www.elnuevodia.com.co/nuevodia/ibague/494588-famoso-dj-de-ibague-que-casi-mata-su-ex-hace-dos-anos-la-sigue-acosando-es
29,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,¡Conmoción en Ibagué! Hallaron el cuerpo sin vida de un hombre dentro de una cuneta,Vereda Chucuní,"En las últimas horas, habitantes de la vereda de Chucuní encontraron el cuerpo sin vida de un hombre dentro de un un canal, al parecer, con signos de violencia. De inmediato alertaron a las autoridades, quienes en este momento realizan el levantamiento del cadáver.

El cuerpo sin vida fue hallado en el kilómetro 4 en la vía que conduce Ibagué - Alvarado. Según se conoció de manera extraoficial, se considera que la víctima fue asesinada, pero no se ha establecido su causa.

Por el momento, no se conoce la identidad de la víctima. Según versiones de los testigos, el agredido es un masculino de 35 a 40 años, de contextura delgada y con tatuajes en su piel.",Planes de incremento de seguridad,http://www.elnuevodia.com.co/nuevodia/ibague/494576-conmocion-en-ibague-hallaron-el-cuerpo-sin-vida-de-un-hombre-dentro-de-una-cuneta
30,"jueves, septiembre 08, 2022",El Cronista.co,El Cronista.co,Seguridad,Negativa,Investigan identidad de cadáver hallado cerca al CAPA de Ibagué,Via Ibagué - Alvarado,"Este jueves, hacia las 6:30 de la mañana, fue encontrado el cadáver de un hombre flotando sobre un canal a la altura del kilómetro 4 de la vía que conduce de Ibagué a Alvarado. 

Por tanto, personal de la Policía Metropolitana de Ibagué, adscrito al CAI de El Salado, llegaró hasta el lugar para constatar la información. Efectivamente, el cadáver se encontraba en inmediaciones del Centro de Atención y Protección Animal (CAPA).

Fuentes extraoficiales indican que el cadáver tenía una cuerda alrededor del cuello, por lo cual se sospecha que podría haber sido asfixiado. Sin embargo, la hipótesis todavía es materia de investigación por parte de las autoridades.",Planes de incremento de seguridad,https://elcronista.co/actualidad/investigan-identidad-de-cadaver-hallado-cerca-al-capa-de-ibague
31,"jueves, septiembre 08, 2022",Caracol Radio,Julio Montiel,Seguridad,Negativa,Un motociclista muerto en el Cañón del Combeima en Ibagué,Cañon del Combeima,"Como Cristián David Delgado fue identificado el joven de 18 años que falleció en la noche del miércoles en medio de un accidente de tránsito en el Cañón del Combeima en Ibagué. Según se estableció, el motociclista se estrelló contra un vehículo tipo campero en el sector entre Villa María y Tres Esquinas, aunque los jóvenes fueron trasladados a un centro asistencial, uno de ellos falleció producto de la gravedad de las heridas.

La otra persona que resultó con graves lesiones en medio del siniestro vial fue Johan Camilo Varón Bedoya de 18 años, el joven se recupera en la Clinica Tolima. En la ciudad este año se han presentado más de 50 muertes en accidentes de tránsito, situación que tiene preocupadas a las autoridades porque en el 2021 solo se registraron 47 decesos.",Planes de mejoras en seguridad vial,https://caracol.com.co/emisora/2022/09/08/ibague/1662670969_075533.html
32,"jueves, septiembre 08, 2022",Caracol Radio,Francy Robayo,Movilidad,Neutral,Ibagué se prepara para la segunda jornada del ‘Día sin carro y sin moto’,Ciudad de Ibagué en general,"La capital tolimense se prepara para la segunda jornada del ‘Día sin carro y sin moto’ esta jornada se cumplirá el próximo 21 de septiembre como ha quedado estipulado en un acuerdo del Concejo municipal que el día sin carro será dos veces al año, una en el primer semestre y la otra en el segundo semestre del año.

Se prevé que para esta jornada más de 170.000 vehículos dejen de circular por las calles de la ciudad entre las 6:00 de la mañana y las 8:00 de la noche, como una forma de aportar al medio ambiente. Las personas que no acaten esta disposición tendrán que pagar una multa de $496.000, además sus vehículos serán inmovilizados por parte de las autoridades de tránsito.",Planes de mejoras en seguridad vial,https://caracol.com.co/emisora/2022/09/08/ibague/1662633057_439193.html
33,"jueves, septiembre 08, 2022",Ecos del Combeima,Nicolás Cuellar Dussa,Economía,Positiva,"Ibagué: StudioDot y Marrón Fresco, la combinación perfecta entre el diseño gráfico y la moda",Ciudad de Ibagué en general,"Como una iniciativa moderna, fresca y que vayas más allá de lo establecido una pareja de diseñadores gráficos ibaguereños decidieron crear el StudioDot, una idea de negocio que busca apoyar la creación y desarrollo de diferentes marcas a nivel local, departamental y nacional.

La idea nació en el año 2020, cuando en plena pandemia a Edgar Montaña y Paula Gil les surgió la idea de aprender sobre marketing digital y todo lo relacionado al mundo de las 'social media', y así poder entrar a apoyar emprendimientos nuevos a través de una apuesta novedosa en la creación de contenido audiovisual y a su vez poder generar ingresos.

Luego de dos años y cinco meses desde la creación de la primera colección a la actualidad se tiene una vista al futuro en donde se puedan implementar nuevas estrategias que faciliten los costos de producción, por temas de recursos los diseños deben espera run intervalo de entre dos y tres meses, pese a que no se busca la inmediatez con la marca si se tiene como objetivo seguir posesionando la marca. ",Posibilades de inversiones,https://www.ecosdelcombeima.com/ibague/nota-199475-ibague-studiodot-y-marron-fresco-la-combinacion-perfecta-entre-el-diseno-grafico
34,"jueves, septiembre 08, 2022",El Olfato,Redacción Ibagué,Economía,Neutral,Avianca oculta información sobre cancelación de vuelos desde Ibagué,Ciudad de Ibagué en general,"La reconocida aerolínea Avianca ha causado controversia y quejas en la ciudadanía de Ibagué por su servicio. A eso se suma un nuevo problema: oculta información sobre la cancelación de los vuelos hacia otros destinos. Desde el pasado lunes 25 de julio, EL OLFATO solicitó a la compañía el discriminado de los vuelos cancelados en lo años 2021 y 2022, y cuáles han sido las causas de las suspensiones.

Sin embargo, un mes después y no se obtuvo una respuesta de su parte. Avianca ha recibido decenas de quejas por parte de los usuarios de Ibagué por sus costos, maletas que no aparecen, y cancelación o retraso de los vuelos. En esta redacción seguirá insistiendo con la solicitud de la información para reportar con claridad a todos los interesados",controles regulatorios  y seguimiento,https://www.elolfato.com/ibague/avianca-oculta-informacion-sobre-cancelacion-de-vuelos-desde-ibague
35,"jueves, septiembre 08, 2022",El Olfato,Redacción Ibagué,Economía,Neutral,Megacolegio José Joaquín Florez podría ser el próximo elefante blanco de Ibagué,Arboleda Campestre,"El avance en las obras del megacolegio José Joaquín Florez, en la Arboleda Campestre de Ibagué, continúa siendo una 'amanecerá y veremos', y podría convertirse en un elefante blanco más para la ciudad. De acuerdo con Juan Felipe Velásquez, residente del sector, no se evidencian avances de esta obra, que empezó hace mas de cuatro años y cuya inversión supera los 6,000 millones.

Esta situación tiene preocupadas a cientos de personas, ya que el colegio beneficiaría a cerca de 1,000 estudiantes.",controles regulatorios  y seguimiento,https://www.elolfato.com/ibague/megacolegio-jose-joaquin-florez-podria-ser-el-proximo-elefante-blanco-de-ibague
36,"jueves, septiembre 08, 2022",Blu Radio,Fernando Gonzaléz,Salud,Neutral,Paciente con ELA pide que autoricen su eutanasia en Ibagué,Ciudad de Ibagué en general,"Erika Alexandra Triana Gómez, hoy tiene 34 años de edad y padece una enfermedad degenerativa que ya no le permite caminar. Su familia en Ibagué asegura que la EPS no le brindan atención integral y que ni siquiera con tutelas es atendida, aunque ella está cansada de tanto dolor.

Érika, desde hace 14 años, padece de Esclerosis Lateral Amiotrófica (ELA), enfermedad que la hace permanecer en la cama, con enfermera durante el día y bajo el cuidado nocturno de Álvaro Bonilla, su esposo.

Blu Radio dialogó con Delcy Esperanza Isaza, representante a la cámara del Tolima, quien hasta ese momento se enteró del caso: “En esta terrible situación ella se ve forzada a tomar esa decisión tan drástica, porque no se le están garantizando sus derechos, si la EPS tomase la responsabilidad de atenderla de manera oportuna, creo que tendría en sus condiciones una mejor calidad de vida, estaré muy pendiente de la evolución médica de Erika”, afirmó.",-,https://www.bluradio.com/nacion/paciente-con-ela-pide-que-autoricen-su-eutanasia-en-ibague-rg10
37,"jueves, septiembre 08, 2022",Ondas de Ibagué,Yudy Vallejo,Economía,Neutral,Inició el nuevo pago de ‘Colombia Mayor’ en Ibagué,Ciudad de Ibagué en general,"Hasta el próximo 20 de septiembre, los beneficiarios de este programa podrán realizar el cobro del subsidio en los puntos autorizados Gana Gana. La Administración Municipal informa a los beneficiarios del programa ‘Colombia Mayor’ que desde el 7 de septiembre podrán acercarse a los puntos autorizados Gana Gana, donde vienen realizado los cobros, para reclamar el subsidio correspondiente.

Es importante recordar que en los únicos casos que se deben actualizar los datos, es cuando se ha cambiado de residencia o del número telefónico de contacto, para lo cual, deben acercarse a la oficina de atención al adulto mayor en el primer piso de la Alcaldía, con la fotocopia de la cédula de ciudadanía ampliada y la información escrita al respaldo.",controles regulatorios  y seguimiento,https://www.ondasdeibague.com/noticias/principales/65-destacadas-2/46080-inicio-el-nuevo-pago-de-colombia-mayor-en-ibague
38,"jueves, septiembre 08, 2022",Cambio In,Cambio In,Movilidad,Negativa,Los semáforos en Ibagué son una vergüenza: Denuncia ciudadana,Ciudad de Ibagué en general,"Varios semáforos se encuentra fuera de servicio. Los ibaguereños han expresado su preocupación debido a la dificiltad que presentan varios semáforos de la capital tolimense que se encuentran en mal estado o mal sincronizados. Desde hace más de un mes los semáforos de la calle 15 con carrera 7 en pleno centro de la centro de la ciudad se encuentran fuera de servicio, se ha convertido en un riesgo para el paso de conductores y peatones y nadie responde.

Hasta el momento la Secretaria de Tránsito y Movilidad Olga Lucia Lievano quien hace poco llegó de un viaje por Europa no se ha pronunciado de lo que sucede con la red semafórica.",Planes de mejoras en seguridad vial,https://www.cambioin.com/actualidad/los-semaforos-en-ibague-son-una-verguenza-denuncia-ciudadana
39,"jueves, septiembre 08, 2022",El Nuevo Día,El Nuevo Día,Movilidad,Negativa,¡Insólito accidente! Motocicleta cayó al piso por un ‘reguero’ en la avenida Ambalá,Ambalá,"Al parecer, una motocicleta resbaló agresivamente en la carretera, dejando dos personas lesionadas, sin gravedad alguna. 

Según testigos, esta es la tercera motocicleta que cae en la glorieta de la calle 69 con avenida Ambalá. Al parecer, el vehículo automotor se resbaló debido a un reguero de ACP en esa vía de la capital tolimense.

El Cuerpo de Bomberos y una ambulancia ya están interviniendo en el lugar y auxiliando a las víctimas. ",Planes de mejoras en seguridad vial,https://www.elnuevodia.com.co/nuevodia/ibague/494582-insolito-accidente-motocicleta-cayo-al-piso-por-un-reguero-en-la-avenida-ambala
40,"jueves, septiembre 08, 2022",Ondas de Ibagué,Daniel García,Política,Negativa,Rodríguez con bombillo rojo en su cubículo pidió cese a los ataques y mentiras Perdomo,Ciudad de Ibagué en general,"Tras el nuevo espectáculo al mejor estilo de niños de primaria entre los concejales Linda Perdomo y Orlando Rodríguez, que es el segundo rifirrafe que se presenta en la semana, el cabildante a la ASI respondió a su compañera de corporación.

El concejal de Ibagué, Orlando Rodríguez, le respondió a la cabildante Perdomo tras los cuestionamientos que dio en la sesión, donde con un bombillo rojo en su cubículo, indicó que significa un cese a los ataques que está teniendo.

Finalmente, señaló que es impuntual para llegar a las sesiones y ha ventilado que es a él a quien no le gusta madrugar, cuando según el concejal es ella la que llega tarde a sesionar.",-,https://www.ondasdeibague.com/noticias/principales/59-destacadas/46087-rodriguez-con-bombillo-rojo-en-su-cubiculo-pidio-cese-a-los-ataques-y-mentiras-perdomo
41,"viernes, septiembre 09, 2022",Ondas de Ibagué,Emisora Ondas de Ibagué,Política,Neutral ,Castillo afirma que los ibaguereños están “mamados” de la pelea entre Perdomo y Rodríguez,Ciudad de Ibagué en general,"El cabildante se mostró molesto ante los constantes problemas entre los cabildantes. Pide acciones de la Presidencia y Comisión de Ética de la corporación.

Tras el nuevo rifirrafe entre los concejales Linda Perdomo y Orlando Rodríguez en la acalorada sesión extra de hoy, en medio de las proposiciones y varios cabildantes se pronunciaron ante la repetida ocasión.",Posiciones políticas,https://www.ondasdeibague.com/noticias/46-politica/46090-castillo-afirma-que-los-ibaguerenos-estan-mamados-de-la-pelea-entre-perdomo-y-rodriguez
42,"viernes, septiembre 09, 2022",El Olfato,Juanita Barragán Urrea,Movilidad,Negativa,Huecos de la vía Mirolindo obligan a ciclistas a no usar la orilla e invadir la carretera,Mirolindo,"Las personas y visitantes del sector Mirolindo se quejan por el estado de la vía, debido a su deterioro y el riesgo de aumento de accidentes para ciclistas y motociclistas.", pavimentación de vía ,https://www.elolfato.com/ibague/huecos-de-la-via-mirolindo-obligan-a-ciclistas-a-no-usar-la-orilla-e-invadir-la-carretera
43,"viernes, septiembre 09, 2022",El Nuevo Día,El Nuevo Dia ,Seguridad,Negativa,Cae cargamento de marihuana,El Tigre,"En el sector El Tigre, cuando los uniformados efectuaban controles en la vía nacional, notaron la actitud sospechosa de un hombre que se movilizaba en un vehículo de placa FAU 304. Según el coronel Carlos Germán Oviedo Lamprea, comandante de la Policía Metropolitana de Ibagué, «se realiza la señal de pare a un vehículo y este emprende la huida",Acciones contra el narcotráfico,https://www.elnuevodia.com.co/nuevodia/judicial/494614-cae-cargamento-de-marihuana
44,"viernes, septiembre 09, 2022",El Nuevo Día,Jorge Cuéllar,Seguridad,Negativa,Cadáver hallado en canal de aguas,Vìa Ibagué - Alvarado ,"Las autoridades investigan si la muerte de un ciudadano se trató de un homicidio, aunque no descartan que sea un caso de autoeliminación. No obstante, a través de la necropsia los médicos forenses determinarán si hubo manos criminales en el hecho.",Planes de incremento de seguridad,https://www.elnuevodia.com.co/nuevodia/judicial/494613-cadaver-hallado-en-canal-de-aguas
45,"viernes, septiembre 09, 2022",Enfoque Teve,Jessica Manjarres,Seguridad,Positiva,Comandante de la Policía Metropolitana de Ibagué se reunirá con gremio de taxistas,Ciudad de Ibagué en general,"Tras los constantes casos de inseguridad que se han venido presentando en la capital musical, el líder de los taxistas José Adenis Ramírez, dio a conocer que el 9 de septiembre los voceros de la ola amarilla, se reunirán con el comandante de la Policía Metropolitana de Ibagué, el coronel Carlos German Oviedo Lamprea, en el terminal de transportes de Ibagué a las 10 P.M.",Planes de seguridad,https://enfoqueteve.com/comandante-de-la-policia-metropolitana-de-ibague-se-reunira-con-gremio-de-taxistas/
46,"viernes, septiembre 09, 2022",El Tiempo,El Tiempo,Economía,Negativa,En Tolima también llueven las críticas por los aumentos en la tarifa de energía,Ciudad de Ibagué en general,"El senador conservador Miguel Ángel Barreto afirmó que el Tolima, con más de 1.3 millones de habitantes, tiene una de las tarifas más altas de energía y hasta calificó de abusivas las alzas en el país.",controles regulatorios  y seguimiento,https://www.eltiempo.com/colombia/otras-ciudades/tolima-criticas-por-aumentos-en-las-tarifas-de-la-energia-electrica-701291
47,"viernes, septiembre 09, 2022",Enfoque Teve,Redacción Enfoque,Economía,Negativa,¡Celsia hace lo que se le da la gana con las tarifas en Ibagué!,Ciudad de Ibagué en general,"El alza en los precios de la electricidad en el Tolima sigue siendo un tema de debate y análisis
Y es que, son varias las denuncias que se han ido sumando por el incremento excesivo en las tarifas de energía en el país, que en el mes de agosto aportó 1,85% a la cifra del IPC que fue de 10,84%, según el DANE.",controles regulatorios  y seguimiento,https://enfoqueteve.com/celsia-hace-lo-que-se-le-da-la-gana-con-las-tarifas-en-ibague/
48,"viernes, septiembre 09, 2022",El Olfato,Redacción Ibagué,Seguridad,Negativa,Atención: familia habría sido secuestrada en las afueras de Ibagué,Ciudad de Ibagué en general,"Indican que las víctimas se transportaban en una camioneta Toyota Prado, la cual fue abordada por sujetos armados, quienes bajaron a los ocupantes y desaparecieron.",planes de incremento de seguridad,https://www.elolfato.com/ibague/atencion-familia-habria-sido-secuestrada-en-las-afueras-de-ibague
49,"viernes, septiembre 09, 2022",A la luz Publica,A la luz Publica,Política,Neutral ,El regreso de Ticardo Ferro: ¿Podrá recomponer el rumbo en Ibagué?,Ciudad de Ibagué en general,Como estaba previsto tras finalizar su periodo en la Cámara de Representantes regresó a Ibagué el político Ricardo Ferro Lozano. Quien reactivo su programa de entrevistas televisivas con líderes y comuneros de cara a una eventual candidatura a la Alcaldía de Ibagué en 2023.,Posiciones políticas,https://www.alaluzpublica.com/el-regreso-de-ricardo-ferro-podra-recomponer-el-rumbo-en-ibague/
50,"viernes, septiembre 09, 2022",Enfoque Teve,Jessica Manjarres,Medio ambiente,Neutral ,"Por temporada de calor, bomberos atendieron emergencias en Ibagué",Ciudad de Ibagué en general,"Entre las situaciones de riesgo sobresalen la explosión de una caneca, dos incendios vehiculares y ocho incendios forestales.
La Alcaldía de Ibagué, aseguró, que, en su compromiso de preservar la vida e integridad de los ciudadanos, continúa atendiendo las emergencias a través del Cuerpo Oficial de Bomberos. Entre las emergencias más recurrentes durante esta temporada de menos lluvias se encuentran incendios y accidentes.",-,https://enfoqueteve.com/por-temporada-de-calor-bomberos-atendieron-emergencias-en-ibague/
51,"viernes, septiembre 09, 2022",Gobernación del Tolima,Gobernación del Tolima,Salud,Positiva,La gran jornada de vacunación “El Tolima hace la tarea”,Ciudad de Ibagué en general,"Mediante jornadas de vacunación en las instituciones educativas de los Municipios del Tolima, se busca terminar los esquemas de vacunación del COVID 19 y otras enfermedades como Sarampión y Rubeola.

",,http://www.saludtolima.gov.co/la-gran-jornada-de-vacunacion-el-tolima-hace-la-tarea/
52,"viernes, septiembre 09, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,Más detalles de las personas secuestradas en Ibagué: habrían revelado sus identidades,Ambalá,"La policía Metropolitana de Ibagué, se manifestó frente al caso reportado de secuestro y robo del que fueron víctimas tres personas esta tarde en la ciudad, en la zona de Ambalá.

“A las 13 horas del día de hoy, a través de la línea 123, se recibe una llamada donde se alerta de un supuesto hurto a un vehículo tipo camioneta. Inmediatamente personal del modelo de vigilancia comunitaria por cuadrantes acude al lugar, se entrevista con el supuesto conductor, quien manifiesta que fue bajado del vehículo por dos personas y emprenden la huida con dos hombres y una mujer al interior de este vehículo”, manifestó el coronel Carlos Germán Oviedo Lamprea, Comandante Policía Metropolitana de Ibagué.

De forma extraoficial, se conoció que las víctimas del hecho serían dos mujeres de 30 y 55 años de edad y un joven de 22 años, aunque en un inicio se había indicado la presencia de un menor de edad. Al parecer, ya habrían sido ubicados en el sector del Totumo, aunque no se ha confirmado por parte de las autoridades.",Planes de incremento de seguridad,http://www.elnuevodia.com.co/nuevodia/ibague/494652-mas-detalles-de-las-personas-secuestradas-en-ibague-habrian-revelado-sus-identidades
53,"viernes, septiembre 09, 2022",Caracol Radio,Francy Robayo,Movilidad,Positiva,Ministro de transporte inspeccionará obras entre Tolima y Quindío,Via Cajamarca e Ibague,"Este viernes el ministro de Transporte Guillermo Reyes, estará con los gobernantes de Quindío y Tolima realizando un recorrido por las obras del cruce de la Cordillera Central, así como el proyecto vial de la doble calzada Girardot – Ibagué – Cajamarca.

También lo que tiene que ver con la instalación de un peaje en la vía Ibagué – Cajamarca, que están afectando la economía de la ciudadanía de la principal despensa agrícola de Colombia.

El mandatario expresó que se espera se adquieran compromisos contundentes por parte del Ministerio de Transporte, que permitan mejorar la movilidad y más obras de infraestructura en beneficio de los colombianos. ",Mantenimiento de vias,https://caracol.com.co/emisora/2022/09/09/ibague/1662719941_538623.html
54,"viernes, septiembre 09, 2022",El Cronista.co,El Cronista.co,Seguridad,Negativa,"""La gente da papaya"": secretario de Gobierno (e) sobre inseguridad en Ibagué",Ciudad de Ibagué en general,"En las últimas semanas la percepción de inseguridad ha aumentado en la ciudad de Ibagué. Cada día se conocen nuevos casos de fleteos, homicidios y de justicia por mano propia.

Ante esta situación, fue consultado por medios de comunicación el secretario de Gobierno encargado, Ernesto Ortiz, quien entregó unas declaraciones insólitas. Para el funcionario, las víctimas de robo serían las principales responsables de lo que les sucedió",Planes de incremento de seguridad,https://elcronista.co/actualidad/%22la-gente-da-papaya%22-secretario-de-gobierno-(e)-sobre-inseguridad-en-ibague
55,"viernes, septiembre 09, 2022",Fiscalia General de la Nación,Fiscalia General de la Nación,Seguridad,Negativa,"Por el homicidio de un hombre de 54 años en Ibagué, un asegurado",El Salado,"Gracias a los elementos materiales probatorios y evidencia física recauda por la policía judicial, la Fiscalía General de la Nación imputó cargos y logró medida de aseguramiento intramuros en contra de Diego Mauricio Mora por los delitos de homicidio agravado en concurso con fabricación, tráfico o porte ilegal de armas de fuego o municiones.

El indiciado al parecer accionó una escopeta en contra del hombre de 54 años quien murió en un centro hospitalario debido a la gravedad de las heridas sufridas. Se presume que los móviles del crimen estarían relacionados con una deuda que el asegurado tendría con la víctima.",Planes de incremento de seguridad,https://www.fiscalia.gov.co/colombia/noticias/por-el-homicidio-de-un-hombre-de-54-anos-en-ibague-un-asegurado/
56,"viernes, septiembre 09, 2022",Caracol Radio,Harold Bonilla,Salud,Positiva,Entregan habilitación a la clínica de la calle 60 de Ibagué,Ciudad de Ibagué en general,"La Secretaría de Salud Departamental entregó la habilitación a la clínica Keralty de la calle 60 de Ibagué al verificar que las instalaciones e infraestructura cumple con los parámetros exigidos en las normas de salud.

Durante una semana se verificó las condiciones de la planta física y equipos acorde a la reglamentación establecida para atender a unos 140 mil usuarios que tiene la EPS Sanitas en el departamento del Tolima y zona cercana del departamento de Cundinamarca.

Una vez se recibió el aval de las autoridades de salud en el Tolima, se procederá a partir de este lunes 12 de septiembre a una apertura gradual de los servicios.",Impulsar servicios,https://caracol.com.co/emisora/2022/09/09/ibague/1662718719_496283.html
57,"viernes, septiembre 09, 2022",Caracol Radio,Harold Bonilla,Salud,Positiva,Así avanza la construcción de la Unidad de Salud de Picaleña en Ibagué,Picaleña,"En pocas semanas se entregará a la comunidad las obras de la Unidad de Salud del sector de Picaleña en Ibagué donde unas 60.000 personas se beneficiarán.

Actualmente las obras se encuentran en fase de acabados de fachada, ventanería y persianas además instalación de cielo rasos y enchapes en las zonas húmedas, explicó la gerente de la Unidad de Salud de Ibagué, Diana Ovalle.

La funcionaria explicó que en forma periódica las obras son visitadas por los líderes comunales del sector quienes son los encargados de ejercer una veeduría y verificar los avances de las mismas. La Unidad de Salud del sector de Picaleña ofrecerá servicios de primer nivel de atención.",Inversión en infraestructura,https://caracol.com.co/emisora/2022/09/09/ibague/1662719732_219760.html
58,"viernes, septiembre 09, 2022",El Nuevo Día,El Nuevo Día,Seguridad,Negativa,Preocupante matoneo en el Concejo de Ibagué,Ciudad de Ibagué en general,"Estas actuaciones, por más que sean habituales, no pueden ser toleradas ni admitidas y no se pueden quedar en el anecdotario o la picaresca local. Tampoco se debe guardar un silencio cómplice ante estas acciones.

La concejal Linda Esperanza Perdomo, del partido Alianza Verde, ha venido denunciando desde hace algunos meses persecución y un trato denigrante por parte de uno de sus colegas, el concejal Orlando Rodríguez, del partido Alianza Social Independiente (ASI). En las sesiones del pasado martes, la concejal alertó nuevamente sobre los hostigamientos del concejal Rodríguez y asegura que el permanente acoso la obligó a acudir a la Fiscalía.

amentablemente este lugar ha sido irrespetado en forma sistemática. En el pasado los concejales no se han caracterizado por realizar debates basados en ideas y argumentos y muchos han sido los espectáculos bochornosos que han protagonizado a lo largo de su historia. Sin embargo, estas actuaciones, por más que sean habituales, no pueden ser toleradas ni admitidas y no se pueden quedar en el anecdotario o la picaresca local. Tampoco se debe guardar un silencio cómplice ante estas acciones.",Planes de incremento de seguridad,http://www.elnuevodia.com.co/nuevodia/opinion/editorial/494607-preocupante-matoneo-en-el-concejo-de-ibague
